Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Medium', 'Medium', 'Medium')",1,Relax,884088677.8993009,0.0,0.2065269947052002
"('Medium', 'Medium', 'Medium')",1,Heur,884122814.189521,0.003861183959637857,0.004358768463134766
"('Medium', 'Medium', 'Medium')",1,Naive,891295556.5550244,0.8151759926218993,0.0016570091247558594
"('Medium', 'Medium', 'Medium')",2,Relax,961787800.9501334,0.0,0.18442082405090332
"('Medium', 'Medium', 'Medium')",2,Heur,961810483.7452897,0.002358399132722678,0.004688262939453125
"('Medium', 'Medium', 'Medium')",2,Naive,969097754.8139073,0.7600381140780166,0.001608133316040039
"('Medium', 'Medium', 'Medium')",3,Relax,970721541.240877,0.0,0.3288280963897705
"('Medium', 'Medium', 'Medium')",3,Heur,970750379.8965701,0.002970847402457932,0.01218104362487793
"('Medium', 'Medium', 'Medium')",3,Naive,977586592.4294149,0.7072111719867898,0.002780914306640625
"('Medium', 'Medium', 'Medium')",4,Relax,833825747.2635366,0.0,0.527411937713623
"('Medium', 'Medium', 'Medium')",4,Heur,833850757.7009344,0.002999480104796154,0.01251983642578125
"('Medium', 'Medium', 'Medium')",4,Naive,840591676.5081568,0.8114320368284075,0.00525212287902832
"('Medium', 'Medium', 'Medium')",5,Relax,943507809.9597769,0.0,0.30525898933410645
"('Medium', 'Medium', 'Medium')",5,Heur,943542173.6325997,0.003642118534694274,0.010534048080444336
"('Medium', 'Medium', 'Medium')",5,Naive,950508400.6258463,0.7419748508883921,0.003134012222290039
"('Medium', 'Medium', 'Medium')",6,Relax,1036625236.1131608,0.0,0.43289804458618164
"('Medium', 'Medium', 'Medium')",6,Heur,1036653948.7100244,0.002769814573602941,0.006639957427978516
"('Medium', 'Medium', 'Medium')",6,Naive,1043366428.7657002,0.6503018079914356,0.0023376941680908203
"('Medium', 'Medium', 'Medium')",7,Relax,941309322.5012587,0.0,0.4300868511199951
"('Medium', 'Medium', 'Medium')",7,Heur,941335049.8550999,0.0027331455480354245,0.008102178573608398
"('Medium', 'Medium', 'Medium')",7,Naive,948426516.1936153,0.7560951030894597,0.0028879642486572266
"('Medium', 'Medium', 'Medium')",8,Relax,902038387.9592623,0.0,0.3350379467010498
"('Medium', 'Medium', 'Medium')",8,Heur,902069535.3219796,0.0034529974703024205,0.004481792449951172
"('Medium', 'Medium', 'Medium')",8,Naive,909123697.1662141,0.7854775696388481,0.0015749931335449219
"('Medium', 'Medium', 'Medium')",9,Relax,919009660.0002044,0.0,0.17853498458862305
"('Medium', 'Medium', 'Medium')",9,Heur,919036383.5952863,0.0029078687901713937,0.005064964294433594
"('Medium', 'Medium', 'Medium')",9,Naive,925907561.7838411,0.7505798996318661,0.0018198490142822266
"('Medium', 'Medium', 'Medium')",10,Relax,869094177.2345227,0.0,0.2939126491546631
"('Medium', 'Medium', 'Medium')",10,Heur,869124750.5047663,0.003517831673999882,0.006670951843261719
"('Medium', 'Medium', 'Medium')",10,Naive,876110042.8006761,0.8072618307578645,0.0030052661895751953
"('Medium', 'Medium', 'Medium')",11,Relax,891401073.612173,0.0,0.30967020988464355
"('Medium', 'Medium', 'Medium')",11,Heur,891430563.6319126,0.003308277341435897,0.014987707138061523
"('Medium', 'Medium', 'Medium')",11,Naive,898193450.0356917,0.7619888089201445,0.004189014434814453
"('Medium', 'Medium', 'Medium')",12,Relax,975223284.0776465,0.0,0.4060971736907959
"('Medium', 'Medium', 'Medium')",12,Heur,975256340.5512841,0.003389631295446894,0.0052051544189453125
"('Medium', 'Medium', 'Medium')",12,Naive,982280140.5971389,0.7236144414011475,0.001934051513671875
"('Medium', 'Medium', 'Medium')",13,Relax,1000067994.0608317,0.0,0.22517108917236328
"('Medium', 'Medium', 'Medium')",13,Heur,1000095798.1958559,0.0027802244636676867,0.004207134246826172
"('Medium', 'Medium', 'Medium')",13,Naive,1007025577.8175379,0.6957110714497103,0.0016651153564453125
"('Medium', 'Medium', 'Medium')",14,Relax,1037492353.8186072,0.0,0.2010791301727295
"('Medium', 'Medium', 'Medium')",14,Heur,1037519261.4424515,0.0025935250264958005,0.007195949554443359
"('Medium', 'Medium', 'Medium')",14,Naive,1044763433.685099,0.700832140085637,0.003094911575317383
"('Medium', 'Medium', 'Medium')",15,Relax,1026716174.6517302,0.0,0.9050312042236328
"('Medium', 'Medium', 'Medium')",15,Heur,1026742336.6452004,0.0025481232414660553,0.007814884185791016
"('Medium', 'Medium', 'Medium')",15,Naive,1033726920.8678565,0.6828319636149124,0.003156900405883789
"('Medium', 'Medium', 'Medium')",16,Relax,950134188.7286874,0.0,0.29096508026123047
"('Medium', 'Medium', 'Medium')",16,Heur,950165148.5624454,0.0032584696062165595,0.005230903625488281
"('Medium', 'Medium', 'Medium')",16,Naive,957085472.1687799,0.7316107053671549,0.0026297569274902344
"('Medium', 'Medium', 'Medium')",17,Relax,941147438.0783018,0.0,0.5417909622192383
"('Medium', 'Medium', 'Medium')",17,Heur,941175992.2165421,0.0030339707770592386,0.006348848342895508
"('Medium', 'Medium', 'Medium')",17,Naive,948297872.6157132,0.7597571058591722,0.0023391246795654297
"('Medium', 'Medium', 'Medium')",18,Relax,993764291.4551785,0.0,0.40427112579345703
"('Medium', 'Medium', 'Medium')",18,Heur,993791056.8785523,0.0026933372031938815,0.00937509536743164
"('Medium', 'Medium', 'Medium')",18,Naive,1001093086.646202,0.737478218330007,0.0026710033416748047
"('Medium', 'Medium', 'Medium')",19,Relax,1064157915.33949,0.0,0.4022860527038574
"('Medium', 'Medium', 'Medium')",19,Heur,1064194847.8415482,0.003470584724858819,0.0065059661865234375
"('Medium', 'Medium', 'Medium')",19,Naive,1070870734.3001958,0.6308104148775907,0.0026979446411132812
"('Medium', 'Medium', 'Medium')",20,Relax,868781489.8722788,0.0,0.3262913227081299
"('Medium', 'Medium', 'Medium')",20,Heur,868804849.6965979,0.0026888031791006957,0.01388692855834961
"('Medium', 'Medium', 'Medium')",20,Naive,875990554.9848047,0.8297903669178952,0.005821943283081055
"('Medium', 'Medium', 'Medium')",21,Relax,925830525.9209306,0.0,0.3462510108947754
"('Medium', 'Medium', 'Medium')",21,Heur,925858336.097659,0.0030038085750850366,0.004909038543701172
"('Medium', 'Medium', 'Medium')",21,Naive,932530461.151183,0.7236675657878,0.0018007755279541016
"('Medium', 'Medium', 'Medium')",22,Relax,1007222747.3339813,0.0,0.5089268684387207
"('Medium', 'Medium', 'Medium')",22,Heur,1007252257.0595605,0.002929811271376773,0.006030082702636719
"('Medium', 'Medium', 'Medium')",22,Naive,1014305623.9531875,0.703208564138753,0.003206014633178711
"('Medium', 'Medium', 'Medium')",23,Relax,1011912266.5970511,0.0,0.5532166957855225
"('Medium', 'Medium', 'Medium')",23,Heur,1011938415.9903414,0.002584156171781454,0.010416030883789062
"('Medium', 'Medium', 'Medium')",23,Naive,1018980874.4280214,0.6985395932338317,0.002583026885986328
"('Medium', 'Medium', 'Medium')",24,Relax,938775962.3068342,0.0,0.3955221176147461
"('Medium', 'Medium', 'Medium')",24,Heur,938810460.1479506,0.003674768262244121,0.00786900520324707
"('Medium', 'Medium', 'Medium')",24,Naive,945778431.9715472,0.7459148876698979,0.0025811195373535156
"('Medium', 'Medium', 'Medium')",25,Relax,948513982.269005,0.0,0.350740909576416
"('Medium', 'Medium', 'Medium')",25,Heur,948540756.9116184,0.0028227989374876162,0.006001949310302734
"('Medium', 'Medium', 'Medium')",25,Naive,955738776.2736683,0.7616960993427241,0.002924680709838867
"('Medium', 'Medium', 'Medium')",26,Relax,953798144.325529,0.0,0.6908578872680664
"('Medium', 'Medium', 'Medium')",26,Heur,953826045.0949894,0.0029252279034542995,0.008634805679321289
"('Medium', 'Medium', 'Medium')",26,Naive,960076283.3020939,0.6582251196351846,0.0027430057525634766
"('Medium', 'Medium', 'Medium')",27,Relax,952176155.2721558,0.0,0.3398549556732178
"('Medium', 'Medium', 'Medium')",27,Heur,952203982.6068153,0.002922498584479115,0.00859379768371582
"('Medium', 'Medium', 'Medium')",27,Naive,959180828.9426475,0.7356489271136584,0.0026030540466308594
