Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Medium', 'Medium', 'Medium')",1,Relax,884088677.8993009,0.0,0.12176990509033203
"('Medium', 'Medium', 'Medium')",1,Heur,869015351.2104971,-1.7049564218625441,0.0034182071685791016
"('Medium', 'Medium', 'Medium')",2,Relax,905388922.0883106,0.0,0.10239911079406738
"('Medium', 'Medium', 'Medium')",2,Heur,888706746.3292559,-1.8425425087570821,0.0025207996368408203
"('Medium', 'Medium', 'Medium')",3,Relax,890765689.1711001,0.0,0.10197615623474121
"('Medium', 'Medium', 'Medium')",3,Heur,875244266.30108,-1.74248099794499,0.002665996551513672
"('Medium', 'Medium', 'Medium')",4,Relax,1010702423.7075402,0.0,0.10129404067993164
"('Medium', 'Medium', 'Medium')",4,Heur,992732688.940371,-1.7779451543463294,0.0026459693908691406
"('Medium', 'Medium', 'Medium')",5,Relax,856897374.3118119,0.0,0.10569906234741211
"('Medium', 'Medium', 'Medium')",5,Heur,841741825.6339675,-1.768653882271033,0.0024461746215820312
"('Medium', 'Medium', 'Medium')",6,Relax,924743696.9302111,0.0,0.09714031219482422
"('Medium', 'Medium', 'Medium')",6,Heur,907797345.1984309,-1.8325457949089525,0.002852201461791992
"('Medium', 'Medium', 'Medium')",7,Relax,1019266631.8169478,0.0,0.09536576271057129
"('Medium', 'Medium', 'Medium')",7,Heur,1001619698.5074406,-1.7313363116822311,0.0025348663330078125
"('Medium', 'Medium', 'Medium')",8,Relax,1042055988.4840218,0.0,0.10352587699890137
"('Medium', 'Medium', 'Medium')",8,Heur,1023483889.3902726,-1.7822553969262027,0.002707958221435547
"('Medium', 'Medium', 'Medium')",9,Relax,972870012.6806912,0.0,0.10502815246582031
"('Medium', 'Medium', 'Medium')",9,Heur,955160567.9808457,-1.8203299997959772,0.002836942672729492
"('Medium', 'Medium', 'Medium')",10,Relax,928197787.2105207,0.0,0.16498613357543945
"('Medium', 'Medium', 'Medium')",10,Heur,910910981.2890328,-1.8624054226027988,0.0026140213012695312
"('Medium', 'Medium', 'Medium')",11,Relax,1039247367.6958575,0.0,0.10130000114440918
"('Medium', 'Medium', 'Medium')",11,Heur,1020021004.6904982,-1.8500275875595014,0.002512216567993164
"('Medium', 'Medium', 'Medium')",12,Relax,959481114.1205826,0.0,0.09967303276062012
"('Medium', 'Medium', 'Medium')",12,Heur,941307216.1211103,-1.8941381682253997,0.0023720264434814453
"('Medium', 'Medium', 'Medium')",13,Relax,934019070.5324345,0.0,0.10353207588195801
"('Medium', 'Medium', 'Medium')",13,Heur,917912284.3916115,-1.7244600939080812,0.0029790401458740234
"('Medium', 'Medium', 'Medium')",14,Relax,1054717496.3218961,0.0,0.10058426856994629
"('Medium', 'Medium', 'Medium')",14,Heur,1035140589.0141193,-1.8561280509754627,0.0025641918182373047
"('Medium', 'Medium', 'Medium')",15,Relax,1002793982.8742695,0.0,0.10339713096618652
"('Medium', 'Medium', 'Medium')",15,Heur,983626885.4358487,-1.9113694104428973,0.0024099349975585938
"('Medium', 'Medium', 'Medium')",16,Relax,906669855.9617856,0.0,0.10375285148620605
"('Medium', 'Medium', 'Medium')",16,Heur,889755563.2796078,-1.8655404247707434,0.002301931381225586
"('Medium', 'Medium', 'Medium')",17,Relax,966304573.1861295,0.0,0.09409809112548828
"('Medium', 'Medium', 'Medium')",17,Heur,950534269.4046206,-1.6320220579636158,0.003789186477661133
"('Medium', 'Medium', 'Medium')",18,Relax,925639757.4273435,0.0,0.09776806831359863
"('Medium', 'Medium', 'Medium')",18,Heur,909194590.9511425,-1.7766270673061246,0.0025632381439208984
"('Medium', 'Medium', 'Medium')",19,Relax,885375328.3249491,0.0,0.09567689895629883
"('Medium', 'Medium', 'Medium')",19,Heur,868738761.7385622,-1.879041131387952,0.0026018619537353516
"('Medium', 'Medium', 'Medium')",20,Relax,961659438.8294749,0.0,0.10668015480041504
"('Medium', 'Medium', 'Medium')",20,Heur,944297912.924864,-1.8053715487619193,0.0025827884674072266
"('Medium', 'Medium', 'Medium')",21,Relax,1037199058.6791309,0.0,0.09852004051208496
"('Medium', 'Medium', 'Medium')",21,Heur,1017616309.0078481,-1.8880415969738082,0.002602100372314453
"('Medium', 'Medium', 'Medium')",22,Relax,888986930.6080511,0.0,0.10046696662902832
"('Medium', 'Medium', 'Medium')",22,Heur,872243030.0824254,-1.8834810669458524,0.0025272369384765625
"('Medium', 'Medium', 'Medium')",23,Relax,959885110.087292,0.0,0.0958247184753418
"('Medium', 'Medium', 'Medium')",23,Heur,942533329.8118514,-1.807693451340505,0.01010894775390625
"('Medium', 'Medium', 'Medium')",24,Relax,927752277.4829476,0.0,0.1069488525390625
"('Medium', 'Medium', 'Medium')",24,Heur,910361191.4764693,-1.8745398344546735,0.0036690235137939453
"('Medium', 'Medium', 'Medium')",25,Relax,904375596.1230005,0.0,0.10229301452636719
"('Medium', 'Medium', 'Medium')",25,Heur,888187489.6579568,-1.7899760381019818,0.002851247787475586
"('Medium', 'Medium', 'Medium')",26,Relax,1025166035.7781702,0.0,0.10097718238830566
"('Medium', 'Medium', 'Medium')",26,Heur,1006517784.8275464,-1.819046895800502,0.002633810043334961
"('Medium', 'Medium', 'Medium')",27,Relax,934158616.9201976,0.0,0.09728813171386719
"('Medium', 'Medium', 'Medium')",27,Heur,918488560.6599749,-1.677451342458828,0.002521991729736328
"('Medium', 'Medium', 'Medium')",28,Relax,1052531868.7317277,0.0,0.09998631477355957
"('Medium', 'Medium', 'Medium')",28,Heur,1033343069.7475082,-1.8231085969246263,0.0025789737701416016
"('Medium', 'Medium', 'Medium')",29,Relax,1055216530.6832108,0.0,0.1416769027709961
"('Medium', 'Medium', 'Medium')",29,Heur,1034941248.5917562,-1.9214333268952093,0.003464221954345703
"('Medium', 'Medium', 'Medium')",30,Relax,958631330.5203243,0.0,0.11867809295654297
"('Medium', 'Medium', 'Medium')",30,Heur,941205372.613369,-1.8177955750201622,0.0024209022521972656
"('Small', 'Medium', 'Medium')",1,Relax,18598203.6227706,0.0,0.0031671524047851562
"('Small', 'Medium', 'Medium')",1,Heur,18352449.348067418,-1.3213871602217244,9.417533874511719e-05
"('Small', 'Medium', 'Medium')",2,Relax,24544236.872545056,0.0,0.005892276763916016
"('Small', 'Medium', 'Medium')",2,Heur,24036816.853110068,-2.0673693057557783,0.0001361370086669922
"('Small', 'Medium', 'Medium')",3,Relax,19553023.09686853,0.0,0.0034198760986328125
"('Small', 'Medium', 'Medium')",3,Heur,19177040.632167947,-1.9228866188001281,0.00010013580322265625
"('Small', 'Medium', 'Medium')",4,Relax,14314673.532201502,0.0,0.003184795379638672
"('Small', 'Medium', 'Medium')",4,Heur,14040883.529609846,-1.9126527892917262,9.298324584960938e-05
"('Small', 'Medium', 'Medium')",5,Relax,21482861.817569192,0.0,0.003123044967651367
"('Small', 'Medium', 'Medium')",5,Heur,21043869.246149924,-2.0434548020052445,9.703636169433594e-05
"('Small', 'Medium', 'Medium')",6,Relax,15299030.37770018,0.0,0.003036975860595703
"('Small', 'Medium', 'Medium')",6,Heur,15010613.959706595,-1.8851940997122247,8.130073547363281e-05
"('Small', 'Medium', 'Medium')",7,Relax,12929294.017630365,0.0,0.002892017364501953
"('Small', 'Medium', 'Medium')",7,Heur,12688303.989804476,-1.8639070895694276,7.987022399902344e-05
"('Small', 'Medium', 'Medium')",8,Relax,20938735.708407324,0.0,0.002956867218017578
"('Small', 'Medium', 'Medium')",8,Heur,20541745.435423996,-1.895961048039438,8.7738037109375e-05
"('Small', 'Medium', 'Medium')",9,Relax,11561043.242001005,0.0,0.0030121803283691406
"('Small', 'Medium', 'Medium')",9,Heur,11372602.967252132,-1.6299590859090793,8.988380432128906e-05
"('Small', 'Medium', 'Medium')",10,Relax,23758667.672328193,0.0,0.002933979034423828
"('Small', 'Medium', 'Medium')",10,Heur,23349842.39784068,-1.7207415841910794,8.416175842285156e-05
"('Small', 'Medium', 'Medium')",11,Relax,16342045.12175537,0.0,0.0032668113708496094
"('Small', 'Medium', 'Medium')",11,Heur,16035283.410164919,-1.8771317133500947,8.487701416015625e-05
"('Small', 'Medium', 'Medium')",12,Relax,28259648.604316868,0.0,0.0031337738037109375
"('Small', 'Medium', 'Medium')",12,Heur,27696765.03108578,-1.9918279279138011,9.608268737792969e-05
"('Small', 'Medium', 'Medium')",13,Relax,22041208.06443084,0.0,0.003032207489013672
"('Small', 'Medium', 'Medium')",13,Heur,21673481.471019097,-1.6683595215688976,9.989738464355469e-05
"('Small', 'Medium', 'Medium')",14,Relax,15138006.065035991,0.0,0.011047840118408203
"('Small', 'Medium', 'Medium')",14,Heur,14841890.894003946,-1.9561041907360406,0.0001049041748046875
"('Small', 'Medium', 'Medium')",15,Relax,18032132.143454973,0.0,0.0030660629272460938
"('Small', 'Medium', 'Medium')",15,Heur,17877858.997691683,-0.8555457809202274,0.0001010894775390625
"('Small', 'Medium', 'Medium')",16,Relax,18252294.910181165,0.0,0.0029120445251464844
"('Small', 'Medium', 'Medium')",16,Heur,17973947.000731334,-1.5250022576315467,9.107589721679688e-05
"('Small', 'Medium', 'Medium')",17,Relax,24899659.316081434,0.0,0.002897977828979492
"('Small', 'Medium', 'Medium')",17,Heur,24571141.547459394,-1.3193665200465923,9.179115295410156e-05
"('Small', 'Medium', 'Medium')",18,Relax,18036801.01167164,0.0,0.0034313201904296875
"('Small', 'Medium', 'Medium')",18,Heur,17686360.081243105,-1.9429217531521468,8.511543273925781e-05
"('Small', 'Medium', 'Medium')",19,Relax,19610762.43438503,0.0,0.0030829906463623047
"('Small', 'Medium', 'Medium')",19,Heur,19518959.442872867,-0.4681255602342077,9.703636169433594e-05
"('Small', 'Medium', 'Medium')",20,Relax,15680071.52297883,0.0,0.002960205078125
"('Small', 'Medium', 'Medium')",20,Heur,15375891.118515287,-1.9399172001082543,9.703636169433594e-05
"('Small', 'Medium', 'Medium')",21,Relax,16696183.877714533,0.0,0.0029001235961914062
"('Small', 'Medium', 'Medium')",21,Heur,16372702.795378838,-1.9374551975764147,8.487701416015625e-05
"('Small', 'Medium', 'Medium')",22,Relax,16298149.59926782,0.0,0.0028607845306396484
"('Small', 'Medium', 'Medium')",22,Heur,16142660.198159497,-0.9540310092337592,8.678436279296875e-05
"('Small', 'Medium', 'Medium')",23,Relax,13476393.796959484,0.0,0.0031087398529052734
"('Small', 'Medium', 'Medium')",23,Heur,13414724.590459723,-0.45760911582796465,0.00010395050048828125
"('Small', 'Medium', 'Medium')",24,Relax,24036837.39959742,0.0,0.0029158592224121094
"('Small', 'Medium', 'Medium')",24,Heur,23582947.45696295,-1.8883097434526586,8.106231689453125e-05
"('Small', 'Medium', 'Medium')",25,Relax,8128566.175984107,0.0,0.002886056900024414
"('Small', 'Medium', 'Medium')",25,Heur,7991058.345605195,-1.69166157231001,7.82012939453125e-05
"('Small', 'Medium', 'Medium')",26,Relax,13662343.976782057,0.0,0.0028769969940185547
"('Small', 'Medium', 'Medium')",26,Heur,13409148.03187451,-1.8532394246392272,8.320808410644531e-05
"('Small', 'Medium', 'Medium')",27,Relax,12444449.956208726,0.0,0.0029158592224121094
"('Small', 'Medium', 'Medium')",27,Heur,12207305.477949888,-1.9056244277034027,7.891654968261719e-05
"('Small', 'Medium', 'Medium')",28,Relax,20192663.514934115,0.0,0.0035080909729003906
"('Small', 'Medium', 'Medium')",28,Heur,19795513.196873423,-1.966805011963714,0.00011110305786132812
"('Small', 'Medium', 'Medium')",29,Relax,17136610.677797183,0.0,0.00315093994140625
"('Small', 'Medium', 'Medium')",29,Heur,16839020.904713824,-1.7365731105096947,0.00010800361633300781
"('Small', 'Medium', 'Medium')",30,Relax,14027929.845743325,0.0,0.0030961036682128906
"('Small', 'Medium', 'Medium')",30,Heur,13822503.247621844,-1.4644113591986365,0.000102996826171875
"('Large', 'Medium', 'Medium')",1,Relax,13176631595.917202,0.0,1.5633139610290527
"('Large', 'Medium', 'Medium')",1,Heur,12921031220.661837,-1.9398005734224482,0.05274605751037598
"('Large', 'Medium', 'Medium')",2,Relax,13528099330.557177,0.0,1.4778549671173096
"('Large', 'Medium', 'Medium')",2,Heur,13267005675.150698,-1.9300098929398186,0.033924102783203125
"('Large', 'Medium', 'Medium')",3,Relax,13336560620.986546,0.0,1.3901760578155518
"('Large', 'Medium', 'Medium')",3,Heur,13079314354.264366,-1.928880121591275,0.03194284439086914
"('Large', 'Medium', 'Medium')",4,Relax,13798620972.183,0.0,1.3697178363800049
"('Large', 'Medium', 'Medium')",4,Heur,13531991024.354136,-1.932294164513768,0.030946016311645508
"('Large', 'Medium', 'Medium')",5,Relax,13345746988.394737,0.0,1.4282071590423584
"('Large', 'Medium', 'Medium')",5,Heur,13087676461.774809,-1.9337286016612083,0.030823230743408203
"('Large', 'Medium', 'Medium')",6,Relax,13586206301.78427,0.0,1.443772792816162
"('Large', 'Medium', 'Medium')",6,Heur,13323656540.019035,-1.9324729503831652,0.031235694885253906
"('Large', 'Medium', 'Medium')",7,Relax,12935673861.54578,0.0,1.4645609855651855
"('Large', 'Medium', 'Medium')",7,Heur,12685717801.981804,-1.9323002592623122,0.031974077224731445
"('Large', 'Medium', 'Medium')",8,Relax,13373461711.172417,0.0,1.4975528717041016
"('Large', 'Medium', 'Medium')",8,Heur,13115157510.036785,-1.931468506167254,0.03313875198364258
"('Large', 'Medium', 'Medium')",9,Relax,13406288285.137024,0.0,1.439652919769287
"('Large', 'Medium', 'Medium')",9,Heur,13146216537.579578,-1.9399235793383311,0.030290842056274414
"('Large', 'Medium', 'Medium')",10,Relax,12985674501.133718,0.0,1.3911731243133545
"('Large', 'Medium', 'Medium')",10,Heur,12734551021.18195,-1.9338501048200805,0.03294825553894043
"('Large', 'Medium', 'Medium')",11,Relax,13270788832.213957,0.0,1.4235217571258545
"('Large', 'Medium', 'Medium')",11,Heur,13017652097.49584,-1.9074731571618726,0.03287911415100098
"('Large', 'Medium', 'Medium')",12,Relax,13028282105.111889,0.0,1.4837090969085693
"('Large', 'Medium', 'Medium')",12,Heur,12777606849.540293,-1.9240852596616638,0.06187295913696289
"('Large', 'Medium', 'Medium')",13,Relax,13233781587.449257,0.0,1.525418996810913
"('Large', 'Medium', 'Medium')",13,Heur,12977525200.53774,-1.9363806574724367,0.03363204002380371
"('Large', 'Medium', 'Medium')",14,Relax,13251389973.485903,0.0,1.4381909370422363
"('Large', 'Medium', 'Medium')",14,Heur,12997732429.902328,-1.9141957492089963,0.03148293495178223
"('Large', 'Medium', 'Medium')",15,Relax,12794409972.950258,0.0,1.4187099933624268
"('Large', 'Medium', 'Medium')",15,Heur,12546385577.794336,-1.9385371867893182,0.03369903564453125
"('Large', 'Medium', 'Medium')",16,Relax,12677866405.221214,0.0,1.3990490436553955
"('Large', 'Medium', 'Medium')",16,Heur,12432310406.747253,-1.9368874116928052,0.03196096420288086
"('Large', 'Medium', 'Medium')",17,Relax,12702936558.458149,0.0,1.4616098403930664
"('Large', 'Medium', 'Medium')",17,Heur,12458761246.647062,-1.922195790614293,0.032012939453125
"('Large', 'Medium', 'Medium')",18,Relax,13044220121.774094,0.0,1.410780906677246
"('Large', 'Medium', 'Medium')",18,Heur,12791102418.999977,-1.9404586890679592,0.03480672836303711
"('Large', 'Medium', 'Medium')",19,Relax,13073913283.493122,0.0,1.5703730583190918
"('Large', 'Medium', 'Medium')",19,Heur,12821591487.406233,-1.9299638189084982,0.032434940338134766
"('Large', 'Medium', 'Medium')",20,Relax,13416327561.252146,0.0,1.4609401226043701
"('Large', 'Medium', 'Medium')",20,Heur,13157461239.869741,-1.9294871879100446,0.0371851921081543
"('Large', 'Medium', 'Medium')",21,Relax,13443257622.856989,0.0,1.4412469863891602
"('Large', 'Medium', 'Medium')",21,Heur,13183636770.945166,-1.9312346694182307,0.029440879821777344
"('Large', 'Medium', 'Medium')",22,Relax,13315660410.410969,0.0,1.4123950004577637
"('Large', 'Medium', 'Medium')",22,Heur,13058280021.008045,-1.9329149397778904,0.030292987823486328
"('Large', 'Medium', 'Medium')",23,Relax,13063954585.789934,0.0,1.4258852005004883
"('Large', 'Medium', 'Medium')",23,Heur,12811798666.996935,-1.9301653043656248,0.030833005905151367
"('Large', 'Medium', 'Medium')",24,Relax,13254503318.837011,0.0,1.405052900314331
"('Large', 'Medium', 'Medium')",24,Heur,12997566604.059465,-1.9384861778441225,0.03488802909851074
"('Large', 'Medium', 'Medium')",25,Relax,13506448878.03522,0.0,1.4675590991973877
"('Large', 'Medium', 'Medium')",25,Heur,13244989354.312313,-1.9358124854572476,0.03309202194213867
"('Large', 'Medium', 'Medium')",26,Relax,13676678385.820957,0.0,1.4685430526733398
"('Large', 'Medium', 'Medium')",26,Heur,13412166587.49507,-1.9340353766022267,0.030314922332763672
"('Large', 'Medium', 'Medium')",27,Relax,13079061208.067047,0.0,1.432873010635376
"('Large', 'Medium', 'Medium')",27,Heur,12826106892.19447,-1.934040309533514,0.031504154205322266
"('Large', 'Medium', 'Medium')",28,Relax,13479674425.622734,0.0,1.3704919815063477
"('Large', 'Medium', 'Medium')",28,Heur,13219176946.572945,-1.932520555204396,0.03068709373474121
"('Large', 'Medium', 'Medium')",29,Relax,13134957990.574394,0.0,1.3881440162658691
"('Large', 'Medium', 'Medium')",29,Heur,12880249001.20826,-1.9391686638732537,0.02953195571899414
"('Large', 'Medium', 'Medium')",30,Relax,13093520630.147919,0.0,1.3995697498321533
"('Large', 'Medium', 'Medium')",30,Heur,12840259250.379175,-1.9342496714413655,0.03217196464538574
"('Medium', 'Low', 'Medium')",1,Relax,882872399.7478844,0.0,0.10029196739196777
"('Medium', 'Low', 'Medium')",1,Heur,866623796.0363036,-1.8404249262091272,0.0025739669799804688
"('Medium', 'Low', 'Medium')",2,Relax,904563515.6268181,0.0,0.10512995719909668
"('Medium', 'Low', 'Medium')",2,Heur,888356834.5705769,-1.7916576090304417,0.0027730464935302734
"('Medium', 'Low', 'Medium')",3,Relax,889521045.7712605,0.0,0.10119295120239258
"('Medium', 'Low', 'Medium')",3,Heur,872565301.4122002,-1.906165620214054,0.0024111270904541016
"('Medium', 'Low', 'Medium')",4,Relax,1009404665.4220204,0.0,0.09487199783325195
"('Medium', 'Low', 'Medium')",4,Heur,990406194.0195452,-1.882146185101314,0.002785921096801758
"('Medium', 'Low', 'Medium')",5,Relax,855896862.9901581,0.0,0.10061788558959961
"('Medium', 'Low', 'Medium')",5,Heur,839648843.5459657,-1.8983618408681144,0.0026030540466308594
"('Medium', 'Low', 'Medium')",6,Relax,923684600.3214053,0.0,0.10650396347045898
"('Medium', 'Low', 'Medium')",6,Heur,905993935.5705384,-1.9152278542601282,0.0026400089263916016
"('Medium', 'Low', 'Medium')",7,Relax,1018237019.7547356,0.0,0.10510587692260742
"('Medium', 'Low', 'Medium')",7,Heur,998684427.4637717,-1.9202397783252425,0.002543926239013672
"('Medium', 'Low', 'Medium')",8,Relax,1040726505.8196577,0.0,0.10241222381591797
"('Medium', 'Low', 'Medium')",8,Heur,1021308682.970306,-1.865794975026461,0.0027360916137695312
"('Medium', 'Low', 'Medium')",9,Relax,971667601.9946876,0.0,0.10208702087402344
"('Medium', 'Low', 'Medium')",9,Heur,953229327.7491221,-1.897590720089299,0.002889394760131836
"('Medium', 'Low', 'Medium')",10,Relax,927089408.5509593,0.0,0.11113190650939941
"('Medium', 'Low', 'Medium')",10,Heur,909495160.1143475,-1.8977941366099413,0.003007173538208008
"('Medium', 'Low', 'Medium')",11,Relax,1037992489.0322369,0.0,0.10466909408569336
"('Medium', 'Low', 'Medium')",11,Heur,1018185523.8871083,-1.9081992745049106,0.003041982650756836
"('Medium', 'Low', 'Medium')",12,Relax,958508405.4980838,0.0,0.11500287055969238
"('Medium', 'Low', 'Medium')",12,Heur,940152412.0428834,-1.9150581622350864,0.0029566287994384766
"('Medium', 'Low', 'Medium')",13,Relax,932921450.2590634,0.0,0.10883617401123047
"('Medium', 'Low', 'Medium')",13,Heur,915090159.4638878,-1.9113389225024222,0.00323486328125
"('Medium', 'Low', 'Medium')",14,Relax,1053545344.3194529,0.0,0.10835576057434082
"('Medium', 'Low', 'Medium')",14,Heur,1033194771.0124018,-1.9316276624236521,0.002597332000732422
"('Medium', 'Low', 'Medium')",15,Relax,1001421541.3999652,0.0,0.10642814636230469
"('Medium', 'Low', 'Medium')",15,Heur,982135471.9619548,-1.925869240944112,0.0024671554565429688
"('Medium', 'Low', 'Medium')",16,Relax,905339578.317709,0.0,0.10069394111633301
"('Medium', 'Low', 'Medium')",16,Heur,888207798.5607252,-1.892304298550365,0.0026602745056152344
"('Medium', 'Low', 'Medium')",17,Relax,965139053.4658628,0.0,0.0958259105682373
"('Medium', 'Low', 'Medium')",17,Heur,946638533.9734641,-1.9168760631913428,0.0027060508728027344
