Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Medium', 'Medium', 'Medium')",1,Heur,869015351.2104971,-1.7049564218625441,0.00693202018737793
"('Medium', 'Medium', 'Medium')",1,Naive,982451326.1586965,11.125880323806076,0.0016601085662841797
"('Medium', 'Medium', 'Medium')",1,Relax,884088677.8993009,0.0,0.42945408821105957
"('Small', 'Medium', 'Medium')",1,Heur,18352449.348067418,-1.3213871602217244,0.00020003318786621094
"('Small', 'Medium', 'Medium')",1,Naive,27534586.958744384,48.04971231217501,3.790855407714844e-05
"('Small', 'Medium', 'Medium')",1,Relax,18598203.6227706,0.0,0.007867813110351562
"('Large', 'Medium', 'Medium')",1,Heur,12921031220.661837,-1.9398005734224482,0.2837388515472412
"('Large', 'Medium', 'Medium')",1,Naive,13534509949.07605,2.716007885275755,0.04206085205078125
"('Large', 'Medium', 'Medium')",1,Relax,13176631595.917202,0.0,4.9221601486206055
"('Medium', 'Low', 'Medium')",1,Heur,866623796.0363036,-1.8404249262091272,0.010221242904663086
"('Medium', 'Low', 'Medium')",1,Naive,982451326.1586965,11.278971507009187,0.002068042755126953
"('Medium', 'Low', 'Medium')",1,Relax,882872399.7478844,0.0,0.3646540641784668
"('Medium', 'High', 'Medium')",1,Heur,873178994.4592863,-1.2976409554174535,0.009618282318115234
"('Medium', 'High', 'Medium')",1,Naive,982451326.1586965,11.05427885194433,0.002485990524291992
"('Medium', 'High', 'Medium')",1,Relax,884658687.9092555,0.0,0.4076080322265625
"('Medium', 'Medium', 'Low')",1,Heur,866943505.8020296,-0.6986209342989631,0.006361246109008789
"('Medium', 'Medium', 'Low')",1,Naive,982451326.1586965,12.531867301124217,0.0017800331115722656
"('Medium', 'Medium', 'Low')",1,Relax,873042765.3259795,0.0,0.32387614250183105
"('Medium', 'Medium', 'High')",1,Heur,873246481.1855451,-3.6343776708612987,0.006531715393066406
"('Medium', 'Medium', 'High')",1,Naive,982451326.1586965,8.41673627454815,0.015012979507446289
"('Medium', 'Medium', 'High')",1,Relax,906180503.0459455,0.0,0.22968578338623047
