Scenario,Instance_ID,LP_Relax_Obj (Q4),Proposed_Heuristic_Obj (Q5),Naive_Obj (Q4),LP_Relax_Time,Proposed_Heuristic_Time,Naive_Time,Proposed_Heuristic_Gap (Q5),Naive_Gap (Q4)
"('Medium', 'Medium', 'Medium')",1,884088677.8993008,884122814.189521,891295556.5550244,0.1365823745727539,0.0030739307403564453,0.001150369644165039,0.003861183959651341,0.8151759926219129
"('Medium', 'Medium', 'Medium')",2,961787800.9501334,961810483.7452897,969097754.8139073,0.13557147979736328,0.002234935760498047,0.0010471343994140625,0.002358399132722678,0.7600381140780166
"('Medium', 'Medium', 'Medium')",3,970721541.240877,970750379.8965701,977586592.4294149,0.13646197319030762,0.0030813217163085938,0.0010211467742919922,0.002970847402457932,0.7072111719867898
"('Medium', 'Medium', 'Medium')",4,833825747.2635367,833850757.7009344,840591676.5081567,0.136063814163208,0.003084421157836914,0.0010342597961425781,0.0029994801047818565,0.8114320368283788
"('Medium', 'Medium', 'Medium')",5,943507809.9597768,943542173.6325997,950508400.6258463,0.1369166374206543,0.003844022750854492,0.0011327266693115234,0.0036421185347069087,0.7419748508884048
"('Medium', 'Medium', 'Medium')",6,1036625236.1131608,1036653948.7100244,1043366428.7657,0.13461661338806152,0.003283977508544922,0.0010509490966796875,0.002769814573602941,0.6503018079914125
"('Medium', 'Medium', 'Medium')",7,941309322.5012587,941335049.8550999,948426516.1936153,0.13928627967834473,0.003301382064819336,0.0010983943939208984,0.0027331455480354245,0.7560951030894597
"('Medium', 'Medium', 'Medium')",8,902038387.9592625,902069535.3219796,909123697.1662141,0.14788055419921875,0.0039196014404296875,0.0011050701141357422,0.0034529974702759885,0.7854775696388214
"('Medium', 'Medium', 'Medium')",9,919009660.0002044,919036383.5952863,925907561.7838411,0.13661479949951172,0.003275156021118164,0.0010962486267089844,0.0029078687901713937,0.7505798996318661
"('Medium', 'Medium', 'Medium')",10,869094177.2345227,869124750.5047663,876110042.8006761,0.13925671577453613,0.0033800601959228516,0.001100778579711914,0.003517831673999882,0.8072618307578645
"('Medium', 'Medium', 'Medium')",11,891401073.612173,891430563.6319126,898193450.0356917,0.13573169708251953,0.0032303333282470703,0.001100301742553711,0.003308277341435897,0.7619888089201445
"('Medium', 'Medium', 'Medium')",12,975223284.0776465,975256340.5512841,982280140.5971389,0.13706588745117188,0.003482341766357422,0.0010945796966552734,0.003389631295446894,0.7236144414011475
"('Medium', 'Medium', 'Medium')",13,1000067994.0608317,1000095798.1958559,1007025577.8175379,0.13477015495300293,0.003291606903076172,0.0011029243469238281,0.0027802244636676867,0.6957110714497103
"('Medium', 'Medium', 'Medium')",14,1037492353.8186073,1037519261.4424515,1044763433.685099,0.16917800903320312,0.0032770633697509766,0.0010883808135986328,0.00259352502648431,0.7008321400856254
"('Medium', 'Medium', 'Medium')",15,1026716174.6517302,1026742336.6452004,1033726920.8678565,0.1456770896911621,0.0033121109008789062,0.0010898113250732422,0.0025481232414660553,0.6828319636149124
"('Medium', 'Medium', 'Medium')",16,950134188.7286874,950165148.5624454,957085472.1687799,0.13449478149414062,0.0030601024627685547,0.0010077953338623047,0.0032584696062165595,0.7316107053671549
"('Medium', 'Medium', 'Medium')",17,941147438.0783019,941175992.2165421,948297872.6157131,0.13897705078125,0.003217458724975586,0.0010824203491210938,0.003033970777046572,0.7597571058591468
"('Medium', 'Medium', 'Medium')",18,993764291.4551785,993791056.8785523,1001093086.646202,0.13826489448547363,0.003298044204711914,0.001096487045288086,0.0026933372031938815,0.737478218330007
"('Medium', 'Medium', 'Medium')",19,1064157915.3394902,1064194847.8415482,1070870734.3001958,0.1385939121246338,0.0041065216064453125,0.001005411148071289,0.0034705847248476165,0.6308104148775794
"('Medium', 'Medium', 'Medium')",20,868781489.8722788,868804849.6965979,875990554.9848047,0.1346263885498047,0.0022020339965820312,0.0011188983917236328,0.0026888031791006957,0.8297903669178952
"('Medium', 'Medium', 'Medium')",21,925830525.9209306,925858336.097659,932530461.151183,0.13474321365356445,0.003309011459350586,0.0011174678802490234,0.0030038085750850366,0.7236675657878
"('Medium', 'Medium', 'Medium')",22,1007222747.3339813,1007252257.0595605,1014305623.9531875,0.13634085655212402,0.0033111572265625,0.0011148452758789062,0.002929811271376773,0.703208564138753
"('Medium', 'Medium', 'Medium')",23,1011912266.5970513,1011938415.9903414,1018980874.4280212,0.14763379096984863,0.002804994583129883,0.0011067390441894531,0.002584156171769673,0.6985395932337962
"('Medium', 'Medium', 'Medium')",24,938775962.3068342,938810460.1479506,945778431.9715471,0.13837170600891113,0.0033075809478759766,0.0010950565338134766,0.003674768262244121,0.7459148876698851
"('Medium', 'Medium', 'Medium')",25,948513982.269005,948540756.9116184,955738776.2736683,0.13541197776794434,0.004085063934326172,0.001018524169921875,0.0028227989374876162,0.7616960993427241
"('Medium', 'Medium', 'Medium')",26,953798144.3255291,953826045.0949894,960076283.3020939,0.13739228248596191,0.002999544143676758,0.0010001659393310547,0.0029252279034418004,0.658225119635172
"('Medium', 'Medium', 'Medium')",27,952176155.2721556,952203982.6068153,959180828.9426475,0.14021921157836914,0.0030133724212646484,0.0010030269622802734,0.0029224985844916356,0.7356489271136709
